GPU,Model,FP16_time_s,INT8_time_s,FP16_toks,INT8_toks,Speedup_x,Speedup_note,Source
RTX4070,GPT-2,23.21,17.37,11.03,14.74,1.34,INT8 faster,Derived from Table 3
RTX4080,GPT-2,1.1,2.01,231.73,127.36,0.55,INT8 SLOWER,Derived from Table 3
RTX4070,LLaMA-2-7B-Chat,1244.29,18.63,0.21,13.74,66.79,CPU offload FP16,Derived from Table 3
RTX4080,LLaMA-2-7B-Chat,50.04,26.64,5.12,9.61,1.88,INT8 faster,Derived from Table 3
RTX4070,Qwen1.5-1.8B-Chat,12.66,11.78,20.22,21.73,1.07,INT8 faster,Derived from Table 3
RTX4080,Qwen1.5-1.8B-Chat,13.61,11.08,18.81,23.1,1.23,INT8 faster,Derived from Table 3
